STT,Mã CK▲,Tên công ty,Ngành,Sàn,Khối lượng NY/ĐKGD,link
14,ACC,CTCP Đầu tư và Xây dựng Bình Dương ACC,Sản xuất sản phẩm khoáng chất phi kim,HOSE,104999993,https://finance.vietstock.vn/ACC-ctcp-dau-tu-va-xay-dung-binh-duong-acc.htm
15,ACE,CTCP Bê tông Ly tâm An Giang,Sản xuất sản phẩm khoáng chất phi kim,UPCoM,3050781,https://finance.vietstock.vn/ACE-ctcp-be-tong-ly-tam-an-giang.htm
16,ACG,CTCP Gỗ An Cường,Sản xuất các sản phẩm gỗ,UPCoM,87650344,https://finance.vietstock.vn/ACG-ctcp-go-an-cuong.htm
17,ACL,CTCP Xuất nhập khẩu Thủy sản Cửu Long An Giang,Sản xuất thực phẩm,HOSE,50159019,https://finance.vietstock.vn/ACL-ctcp-xuat-nhap-khau-thuy-san-cuu-long-an-giang.htm
18,ACM,CTCP Tập đoàn Khoáng sản Á Cường,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),HNX,51000000,https://finance.vietstock.vn/ACM-ctcp-tap-doan-khoang-san-a-cuong.htm
19,ACS,CTCP Xây lắp Thương mại 2,Xây dựng công nghiệp nặng và dân dụng,UPCoM,4000000,https://finance.vietstock.vn/ACS-ctcp-xay-lap-thuong-mai-2.htm
20,ACV,Tổng Công ty Cảng Hàng không Việt Nam - CTCP,Hỗ trợ vận tải,UPCoM,2177173236,https://finance.vietstock.vn/ACV-tong-cong-ty-cang-hang-khong-viet-nam-ctcp.htm
21,ADC,CTCP Mỹ thuật và Truyền thông,Công nghiệp xuất bản - Ngoại trừ internet,HNX,3977936,https://finance.vietstock.vn/ADC-ctcp-my-thuat-va-truyen-thong.htm
22,ADG,CTCP Clever Group,"Quảng cáo, quan hệ công chúng và dịch vụ liên quan",HOSE,19889098,https://finance.vietstock.vn/ADG-ctcp-clever-group.htm
23,ADP,CTCP Sơn Á Đông,"Sản xuất hóa chất, dược phẩm",UPCoM,23039850,https://finance.vietstock.vn/ADP-ctcp-son-a-dong.htm
24,ADS,CTCP Damsan,"Sản xuất sợi, vải",HOSE,38069450,https://finance.vietstock.vn/ADS-ctcp-damsan.htm
25,AFX,CTCP Xuất nhập khẩu Nông sản Thực phẩm An Giang,Sản xuất thực phẩm,UPCoM,35000000,https://finance.vietstock.vn/AFX-ctcp-xuat-nhap-khau-nong-san-thuc-pham-an-giang.htm
26,AG1,CTCP 28.1,Sản xuất các sản phẩm may mặc,UPCoM,4863386,https://finance.vietstock.vn/AG1-ctcp-28-1.htm
27,AGF,CTCP Xuất nhập khẩu Thủy sản An Giang,Sản xuất thực phẩm,UPCoM,28109743,https://finance.vietstock.vn/AGF-ctcp-xuat-nhap-khau-thuy-san-an-giang.htm
28,AGG,CTCP Đầu tư và Phát triển Bất động sản An Gia,Phát triển bất động sản,HOSE,111713195,https://finance.vietstock.vn/AGG-ctcp-dau-tu-va-phat-trien-bat-dong-san-an-gia.htm
29,AGM,CTCP Xuất Nhập khẩu An Giang,Sản xuất thực phẩm,HOSE,18200000,https://finance.vietstock.vn/AGM-ctcp-xuat-nhap-khau-an-giang.htm
30,AGP,CTCP Dược phẩm Agimexpharm,"Sản xuất hóa chất, dược phẩm",UPCoM,17969247,https://finance.vietstock.vn/AGP-ctcp-duoc-pham-agimexpharm.htm
31,AGR,CTCP Chứng khoán Agribank,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",HOSE,212000000,https://finance.vietstock.vn/AGR-ctcp-chung-khoan-agribank.htm
32,AGX,CTCP Thực phẩm Nông Sản xuất khẩu Sài Gòn,Sản xuất thực phẩm,UPCoM,10800000,https://finance.vietstock.vn/AGX-ctcp-thuc-pham-nong-san-xuat-khau-sai-gon.htm
33,AIC,Tổng Công ty Cổ phần Bảo hiểm Hàng không,Bảo hiểm và các hoạt động liên quan,UPCoM,100000000,https://finance.vietstock.vn/AIC-tong-cong-ty-co-phan-bao-hiem-hang-khong.htm
34,ALT,CTCP Văn hóa Tân Bình,Sản xuất các sản phẩm nhựa và cao su,HNX,6172523,https://finance.vietstock.vn/ALT-ctcp-van-hoa-tan-binh.htm
35,ALV,CTCP Xây dựng ALVICO,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),UPCoM,5657936,https://finance.vietstock.vn/ALV-ctcp-xay-dung-alvico.htm
36,AMC,CTCP Khoáng sản Á Châu,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),HNX,2850000,https://finance.vietstock.vn/AMC-ctcp-khoang-san-a-chau.htm
37,AMD,CTCP Đầu tư và Khoáng sản FLC Stone,"Kinh doanh vật liệu xây dựng, trang thiết bị làm vườn",HOSE,163504874,https://finance.vietstock.vn/AMD-ctcp-dau-tu-va-khoang-san-flc-stone.htm
38,AME,CTCP Alphanam E&C,"Xây dựng nhà cửa, cao ốc",HNX,25200000,https://finance.vietstock.vn/AME-ctcp-alphanam-ec.htm
39,AMP,CTCP Armephaco,Bán buôn hàng lâu bền,UPCoM,13000000,https://finance.vietstock.vn/AMP-ctcp-armephaco.htm
40,AMS,CTCP Cơ khí Xây dựng AMECC,"Sản xuất thiết bị, máy móc",UPCoM,36629865,https://finance.vietstock.vn/AMS-ctcp-co-khi-xay-dung-amecc.htm
41,AMV,CTCP Sản xuất Kinh doanh Dược và Trang thiết bị Y tế Việt Mỹ,Bán buôn hàng lâu bền,HNX,91108861,https://finance.vietstock.vn/AMV-ctcp-san-xuat-kinh-doanh-duoc-va-trang-thiet-bi-y-te-viet-my.htm
42,ANT,CTCP Rau quả Thực phẩm An Giang,Sản xuất thực phẩm,UPCoM,6000000,https://finance.vietstock.vn/ANT-ctcp-rau-qua-thuc-pham-an-giang.htm
43,ANV,CTCP Nam Việt,Sản xuất thực phẩm,HOSE,127539625,https://finance.vietstock.vn/ANV-ctcp-nam-viet.htm
44,APC,CTCP Chiếu xạ An Phú,Hoạt động hỗ trợ cho nông lâm nghiệp,HOSE,20121395,https://finance.vietstock.vn/APC-ctcp-chieu-xa-an-phu.htm
45,APF,CTCP Nông sản Thực phẩm Quảng Ngãi,Sản xuất thực phẩm,UPCoM,20007784,https://finance.vietstock.vn/APF-ctcp-nong-san-thuc-pham-quang-ngai.htm
46,APG,CTCP Chứng khoán APG,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",HOSE,146306612,https://finance.vietstock.vn/APG-ctcp-chung-khoan-apg.htm
47,APH,CTCP Tập đoàn An Phát Holdings,Sản xuất các sản phẩm nhựa và cao su,HOSE,243884268,https://finance.vietstock.vn/APH-ctcp-tap-doan-an-phat-holdings.htm
48,API,CTCP Đầu tư Châu Á - Thái Bình Dương,Phát triển bất động sản,HNX,36400000,https://finance.vietstock.vn/API-ctcp-dau-tu-chau-a-thai-binh-duong.htm
49,APL,CTCP Cơ khí và Thiết bị áp lực - VVMI,Bán buôn hàng lâu bền,UPCoM,1200000,https://finance.vietstock.vn/APL-ctcp-co-khi-va-thiet-bi-ap-luc-vvmi.htm
50,APP,CTCP Phát triển Phụ gia và Sản phẩm Dầu Mỏ,Sản xuất xăng dầu và than đá,HNX,4724632,https://finance.vietstock.vn/APP-ctcp-phat-trien-phu-gia-va-san-pham-dau-mo.htm
51,APS,CTCP Chứng khoán Châu Á Thái Bình Dương,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",HNX,78000000,https://finance.vietstock.vn/APS-ctcp-chung-khoan-chau-a-thai-binh-duong.htm
52,APT,CTCP Kinh doanh Thủy Hải Sản Sài Gòn,Chăn nuôi,UPCoM,8800000,https://finance.vietstock.vn/APT-ctcp-kinh-doanh-thuy-hai-san-sai-gon.htm
53,ARM,CTCP Xuất nhập khẩu Hàng không,Bán buôn hàng lâu bền,HNX,3111283,https://finance.vietstock.vn/ARM-ctcp-xuat-nhap-khau-hang-khong.htm
54,ART,CTCP Chứng khoán BOS,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",HNX,96922509,https://finance.vietstock.vn/ART-ctcp-chung-khoan-bos.htm
55,ASA,CTCP ASA,Xây dựng công nghiệp nặng và dân dụng,UPCoM,10000000,https://finance.vietstock.vn/ASA-ctcp-asa.htm
56,ASG,CTCP Tập đoàn ASG,Hỗ trợ vận tải,HOSE,75653891,https://finance.vietstock.vn/ASG-ctcp-tap-doan-asg.htm
57,ASM,CTCP Tập đoàn Sao Mai,Chăn nuôi,HOSE,336526752,https://finance.vietstock.vn/ASM-ctcp-tap-doan-sao-mai.htm
58,ASP,CTCP Tập đoàn Dầu khí An Pha,Phân phối khí đốt thiên nhiên,HOSE,37339929,https://finance.vietstock.vn/ASP-ctcp-tap-doan-dau-khi-an-pha.htm
59,AST,CTCP Dịch vụ Hàng không Taseco,Của hàng hàng hóa tổng hợp,HOSE,45000000,https://finance.vietstock.vn/AST-ctcp-dich-vu-hang-khong-taseco.htm
60,ATA,CTCP Ntaco,Sản xuất thực phẩm,UPCoM,11999998,https://finance.vietstock.vn/ATA-ctcp-ntaco.htm
61,ATB,CTCP An Thịnh,"Xây dựng nhà cửa, cao ốc",UPCoM,13884000,https://finance.vietstock.vn/ATB-ctcp-an-thinh.htm
62,ATG,CTCP An Trường An,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),UPCoM,15220000,https://finance.vietstock.vn/ATG-ctcp-an-truong-an.htm
63,ATS,CTCP Tập Đoàn Dược Phẩm Atesco,Dịch vụ ăn uống,HNX,3500000,https://finance.vietstock.vn/ATS-ctcp-tap-doan-duoc-pham-atesco.htm
64,AUM,CTCP Vinacafe Sơn Thành,Trồng trọt,UPCoM,1000000,https://finance.vietstock.vn/AUM-ctcp-vinacafe-son-thanh.htm
65,AVC,CTCP Thủy điện A Vương,"Phát, truyền tải và phân phối điện năng",UPCoM,75052052,https://finance.vietstock.vn/AVC-ctcp-thuy-dien-a-vuong.htm
66,AVF,CTCP Việt An,Sản xuất thực phẩm,UPCoM,43338000,https://finance.vietstock.vn/AVF-ctcp-viet-an.htm
67,B82,CTCP 482,Xây dựng công nghiệp nặng và dân dụng,UPCoM,5000000,https://finance.vietstock.vn/B82-ctcp-482.htm
68,BAB,Ngân hàng TMCP Bắc Á,Trung gian tín dụng và các hoạt động liên quan,HNX,753135500,https://finance.vietstock.vn/BAB-ngan-hang-tmcp-bac-a.htm
69,BAF,CTCP Nông nghiệp BAF Việt Nam,Chăn nuôi,HOSE,78000000,https://finance.vietstock.vn/BAF-ctcp-nong-nghiep-baf-viet-nam.htm
70,BAL,CTCP Bao bì Bia - Rượu - Nước giải khát,Sản xuất đồ uống và thuốc lá,UPCoM,2000000,https://finance.vietstock.vn/BAL-ctcp-bao-bi-bia-ruou-nuoc-giai-khat.htm
71,BAX,CTCP Thống Nhất,Bất động sản,HNX,8200000,https://finance.vietstock.vn/BAX-ctcp-tho´ng-nha´t.htm
72,BBC,CTCP Bibica,Sản xuất thực phẩm,HOSE,18752687,https://finance.vietstock.vn/BBC-ctcp-bibica.htm
73,BBH,CTCP Bao bì Hoàng Thạch,Sản xuất các sản phẩm nhựa và cao su,UPCoM,2047932,https://finance.vietstock.vn/BBH-ctcp-bao-bi-hoang-thach.htm
74,BBM,CTCP Bia Hà Nội - Nam Định,Sản xuất đồ uống và thuốc lá,UPCoM,2000000,https://finance.vietstock.vn/BBM-ctcp-bia-ha-noi-nam-dinh.htm
75,BBS,CTCP VICEM Bao bì Bút Sơn,Sản xuất giấy,HNX,6000000,https://finance.vietstock.vn/BBS-ctcp-vicem-bao-bi-but-son.htm
76,BBT,CTCP Bông Bạch Tuyết,Sản xuất khác,UPCoM,9800000,https://finance.vietstock.vn/BBT-ctcp-bong-bach-tuyet.htm
77,BCA,CTCP B.C.H,Sản xuất các sản phẩm kim loại cơ bản,UPCoM,19000000,https://finance.vietstock.vn/BCA-ctcp-b-c-h.htm
78,BCB,CTCP 397,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),UPCoM,5000000,https://finance.vietstock.vn/BCB-ctcp-397.htm
79,BCC,CTCP Xi măng Bỉm Sơn,Sản xuất sản phẩm khoáng chất phi kim,HNX,123209812,https://finance.vietstock.vn/BCC-ctcp-xi-mang-bim-son.htm
80,BCE,CTCP Xây dựng và Giao thông Bình Dương,Phát triển bất động sản,HOSE,35000000,https://finance.vietstock.vn/BCE-ctcp-xay-dung-va-giao-thong-binh-duong.htm
81,BCF,CTCP Thực phẩm Bích Chi,Sản xuất thực phẩm,HNX,25300423,https://finance.vietstock.vn/BCF-ctcp-thuc-pham-bich-chi.htm
82,BCG,CTCP Bamboo Capital,Xây dựng công nghiệp nặng và dân dụng,HOSE,503305437,https://finance.vietstock.vn/BCG-ctcp-bamboo-capital.htm
83,BCM,Tổng Công ty Đầu tư và Phát triển Công nghiệp – CTCP,Bất động sản,HOSE,1035000000,https://finance.vietstock.vn/BCM-tong-cong-ty-dau-tu-va-phat-trien-cong-nghiep-–-ctcp.htm
84,BCP,CTCP Dược ENLIE,"Sản xuất hóa chất, dược phẩm",UPCoM,6000000,https://finance.vietstock.vn/BCP-ctcp-duoc-enlie.htm
85,BCV,CTCP Du lịch và Thương mại Bằng Giang Cao Bằng - Vimico,Khách sạn và phòng ở,UPCoM,1800000,https://finance.vietstock.vn/BCV-ctcp-du-lich-va-thuong-mai-bang-giang-cao-bang-vimico.htm
86,BDB,CTCP Sách và Thiết bị Bình Định,Công nghiệp xuất bản - Ngoại trừ internet,HNX,1126474,https://finance.vietstock.vn/BDB-ctcp-sach-va-thiet-bi-binh-dinh.htm
87,BDG,CTCP May mặc Bình Dương,Sản xuất các sản phẩm may mặc,UPCoM,12000000,https://finance.vietstock.vn/BDG-ctcp-may-mac-binh-duong.htm
88,BDT,CTCP Xây lắp và Vật liệu Xây dựng Đồng Tháp,Sản xuất sản phẩm khoáng chất phi kim,UPCoM,38600000,https://finance.vietstock.vn/BDT-ctcp-xay-lap-va-vat-lieu-xay-dung-dong-thap.htm
89,BDW,CTCP Cấp thoát nước Bình Định,"Nước, chất thải và các hệ thống khác",UPCoM,12410800,https://finance.vietstock.vn/BDW-ctcp-cap-thoat-nuoc-binh-dinh.htm
90,BED,CTCP Sách và Thiết bị Trường học Đà Nẵng,Công nghiệp xuất bản - Ngoại trừ internet,HNX,3000000,https://finance.vietstock.vn/BED-ctcp-sach-va-thiet-bi-truong-hoc-da-nang.htm
91,BEL,CTCP Điện tử Biên Hòa,"Sản xuất các sản phẩm điện tử, vi tính",UPCoM,6000000,https://finance.vietstock.vn/BEL-ctcp-dien-tu-bien-hoa.htm
92,BFC,CTCP Phân bón Bình Điền,"Sản xuất hóa chất, dược phẩm",HOSE,57167993,https://finance.vietstock.vn/BFC-ctcp-phan-bon-binh-dien.htm
93,BGW,CTCP Nước sạch Bắc Giang,"Nước, chất thải và các hệ thống khác",UPCoM,18149446,https://finance.vietstock.vn/BGW-ctcp-nuoc-sach-bac-giang.htm
94,BHA,CTCP Thủy điện Bắc Hà,"Phát, truyền tải và phân phối điện năng",UPCoM,66000000,https://finance.vietstock.vn/BHA-ctcp-thuy-dien-bac-ha.htm
95,BHC,CTCP Bê tông Biên Hòa,Sản xuất sản phẩm khoáng chất phi kim,UPCoM,4500000,https://finance.vietstock.vn/BHC-ctcp-be-tong-bien-hoa.htm
96,BHG,CTCP Chè Biển Hồ,Trồng trọt,UPCoM,8935643,https://finance.vietstock.vn/BHG-ctcp-che-bien-ho.htm
97,BHK,CTCP Bia Hà Nội - Kim Bài,Sản xuất đồ uống và thuốc lá,UPCoM,3986000,https://finance.vietstock.vn/BHK-ctcp-bia-ha-noi-kim-bai.htm
98,BHN,Tổng Công ty cổ phần Bia - Rượu - Nước giải khát Hà Nội,Sản xuất đồ uống và thuốc lá,HOSE,231800000,https://finance.vietstock.vn/BHN-tong-cong-ty-co-phan-bia-ruou-nuoc-giai-khat-ha-noi.htm
99,BHP,CTCP Bia Hà Nội - Hải Phòng,Sản xuất đồ uống và thuốc lá,UPCoM,9179290,https://finance.vietstock.vn/BHP-ctcp-bia-ha-noi-hai-phong.htm
100,BHT,CTCP Đầu tư Xây dựng Bạch Đằng TMC,"Xây dựng nhà cửa, cao ốc",UPCoM,4565000,https://finance.vietstock.vn/BHT-ctcp-dau-tu-xay-dung-bach-dang-tmc.htm
101,BIC,Tổng Công ty cổ phần Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam,Bảo hiểm và các hoạt động liên quan,HOSE,117276895,https://finance.vietstock.vn/BIC-tong-cong-ty-co-phan-bao-hiem-ngan-hang-dau-tu-va-phat-trien-viet-nam.htm
102,BID,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Trung gian tín dụng và các hoạt động liên quan,HOSE,5058523816,https://finance.vietstock.vn/BID-ngan-hang-tmcp-dau-tu-va-phat-trien-viet-nam.htm
103,BIG,CTCP Big Invest Group,Bán buôn hàng lâu bền,UPCoM,5000000,https://finance.vietstock.vn/BIG-ctcp-big-invest-group.htm
104,BII,CTCP Louis Land,Bất động sản,HNX,57680000,https://finance.vietstock.vn/BII-ctcp-louis-land.htm
105,BIO,CTCP Vắc xin và Sinh phẩm Nha Trang,"Sản xuất hóa chất, dược phẩm",UPCoM,8562000,https://finance.vietstock.vn/BIO-ctcp-vac-xin-va-sinh-pham-nha-trang.htm
106,BKC,CTCP khoáng sản Bắc Kạn,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),HNX,11737728,https://finance.vietstock.vn/BKC-ctcp-khoang-san-bac-kan.htm
107,BKG,CTCP Đầu tư BKG Việt Nam,Sản xuất các sản phẩm gỗ,HOSE,62000000,https://finance.vietstock.vn/BKG-ctcp-dau-tu-bkg-viet-nam.htm
108,BKH,CTCP Bánh mứt kẹo Hà Nội,Sản xuất thực phẩm,UPCoM,1750000,https://finance.vietstock.vn/BKH-ctcp-banh-mut-keo-ha-noi.htm
109,BLF,CTCP Thủy sản Bạc Liêu,Sản xuất thực phẩm,HNX,11500000,https://finance.vietstock.vn/BLF-ctcp-thuy-san-bac-lieu.htm
110,BLI,Tổng Công ty cổ phần Bảo hiểm Bảo Long,Bảo hiểm và các hoạt động liên quan,UPCoM,60000000,https://finance.vietstock.vn/BLI-tong-cong-ty-co-phan-bao-hiem-bao-long.htm
111,BLN,CTCP Vận tải và Dịch vụ Liên Ninh,Vận tải trung chuyển và vận tải hành khách bằng đường bộ,UPCoM,5000000,https://finance.vietstock.vn/BLN-ctcp-van-tai-va-dich-vu-lien-ninh.htm
112,BLT,CTCP Lương thực Bình Định,Sản xuất thực phẩm,UPCoM,4000000,https://finance.vietstock.vn/BLT-ctcp-luong-thuc-binh-dinh.htm
113,BLW,CTCP Cấp nước Bạc Liêu,"Nước, chất thải và các hệ thống khác",UPCoM,11168800,https://finance.vietstock.vn/BLW-ctcp-cap-nuoc-bac-lieu.htm
114,BMC,CTCP Khoáng sản Bình Định,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),HOSE,12392630,https://finance.vietstock.vn/BMC-ctcp-khoang-san-binh-dinh.htm
115,BMD,CTCP Môi trường và Dịch vụ Đô thị Bình Thuận,Dịch vụ quản lý và tái chế chất thải,UPCoM,2753280,https://finance.vietstock.vn/BMD-ctcp-moi-truong-va-dich-vu-do-thi-binh-thuan.htm
116,BMF,CTCP Vật liệu Xây dựng và Chất đốt Đồng Nai,Trạm xăng,UPCoM,4159600,https://finance.vietstock.vn/BMF-ctcp-vat-lieu-xay-dung-va-chat-dot-dong-nai.htm
117,BMG,CTCP May Bình Minh,Sản xuất các sản phẩm may mặc,UPCoM,5292000,https://finance.vietstock.vn/BMG-ctcp-may-binh-minh.htm
118,BMI,Tổng Công ty cổ phần Bảo Minh,Bảo hiểm và các hoạt động liên quan,HOSE,109623985,https://finance.vietstock.vn/BMI-tong-cong-ty-co-phan-bao-minh.htm
119,BMJ,CTCP Khoáng sản Miền Đông AHP,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),UPCoM,30000000,https://finance.vietstock.vn/BMJ-ctcp-khoang-san-mien-dong-ahp.htm
120,BMN,CTCP 715,Xây dựng công nghiệp nặng và dân dụng,UPCoM,2750000,https://finance.vietstock.vn/BMN-ctcp-715.htm
121,BMP,CTCP Nhựa Bình Minh,Sản xuất các sản phẩm nhựa và cao su,HOSE,81860938,https://finance.vietstock.vn/BMP-ctcp-nhua-binh-minh.htm
122,BMS,CTCP Chứng khoán Bảo Minh,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",UPCoM,56999986,https://finance.vietstock.vn/BMS-ctcp-chung-khoan-bao-minh.htm
123,BMV,CTCP Bột mỳ Vinafood 1,Sản xuất thực phẩm,UPCoM,24200000,https://finance.vietstock.vn/BMV-ctcp-bot-my-vinafood-1.htm
124,BNA,CTCP Đầu tư Sản xuất Bảo Ngọc,Sản xuất thực phẩm,HNX,19999989,https://finance.vietstock.vn/BNA-ctcp-dau-tu-san-xuat-bao-ngoc.htm
125,BNW,CTCP Nước sạch Bắc Ninh,"Nước, chất thải và các hệ thống khác",UPCoM,37549391,https://finance.vietstock.vn/BNW-ctcp-nuoc-sach-bac-ninh.htm
126,BOT,CTCP BOT Cầu Thái Hà,Xây dựng công nghiệp nặng và dân dụng,UPCoM,59246800,https://finance.vietstock.vn/BOT-ctcp-bot-cau-thai-ha.htm
127,BPC,CTCP VICEM Bao bì Bỉm Sơn,Sản xuất giấy,HNX,3800000,https://finance.vietstock.vn/BPC-ctcp-vicem-bao-bi-bim-son.htm
128,BQB,CTCP Bia Hà Nội - Quảng Bình,Sản xuất đồ uống và thuốc lá,UPCoM,5800000,https://finance.vietstock.vn/BQB-ctcp-bia-ha-noi-quang-binh.htm
129,BRC,CTCP Cao su Bến Thành,Sản xuất các sản phẩm nhựa và cao su,HOSE,12374997,https://finance.vietstock.vn/BRC-ctcp-cao-su-ben-thanh.htm
130,BRR,CTCP Cao su Bà Rịa,"Sản xuất hóa chất, dược phẩm",UPCoM,112500000,https://finance.vietstock.vn/BRR-ctcp-cao-su-ba-ria.htm
131,BRS,CTCP Dịch vụ Đô thị Bà Rịa,"Nước, chất thải và các hệ thống khác",UPCoM,4541950,https://finance.vietstock.vn/BRS-ctcp-dich-vu-do-thi-ba-ria.htm
132,BSA,CTCP Thủy điện Buôn Đôn,"Phát, truyền tải và phân phối điện năng",UPCoM,63019723,https://finance.vietstock.vn/BSA-ctcp-thuy-dien-buon-don.htm
133,BSC,CTCP Dịch vụ Bến Thành,Kho bãi,HNX,3150747,https://finance.vietstock.vn/BSC-ctcp-dich-vu-ben-thanh.htm
134,BSD,"CTCP Bia, Rượu Sài Gòn - Đồng Xuân",Sản xuất đồ uống và thuốc lá,UPCoM,3000000,https://finance.vietstock.vn/BSD-ctcp-bia-ruou-sai-gon-dong-xuan.htm
135,BSG,CTCP Xe khách Sài Gòn,Vận tải trung chuyển và vận tải hành khách bằng đường bộ,UPCoM,60000000,https://finance.vietstock.vn/BSG-ctcp-xe-khach-sai-gon.htm
136,BSH,CTCP Bia Sài Gòn - Hà Nội,Sản xuất đồ uống và thuốc lá,UPCoM,18000000,https://finance.vietstock.vn/BSH-ctcp-bia-sai-gon-ha-noi.htm
137,BSI,CTCP Chứng khoán Ngân hàng Đầu tư và Phát triển Việt Nam,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",HOSE,122070078,https://finance.vietstock.vn/BSI-ctcp-chung-khoan-ngan-hang-dau-tu-va-phat-trien-viet-nam.htm
138,BSL,CTCP Bia Sài Gòn - Sông Lam,Sản xuất đồ uống và thuốc lá,UPCoM,45000000,https://finance.vietstock.vn/BSL-ctcp-bia-sai-gon-song-lam.htm
139,BSP,CTCP Bia Sài Gòn - Phú Thọ,Sản xuất đồ uống và thuốc lá,UPCoM,12500000,https://finance.vietstock.vn/BSP-ctcp-bia-sai-gon-phu-tho.htm
140,BSQ,CTCP Bia Sài Gòn - Quảng Ngãi,Sản xuất đồ uống và thuốc lá,UPCoM,45000000,https://finance.vietstock.vn/BSQ-ctcp-bia-sai-gon-quang-ngai.htm
141,BSR,CTCP Lọc hóa Dầu Bình Sơn,Sản xuất xăng dầu và than đá,UPCoM,244119369,https://finance.vietstock.vn/BSR-ctcp-loc-hoa-dau-binh-son.htm
142,BST,CTCP Sách và Thiết bị Bình Thuận,Công nghiệp xuất bản - Ngoại trừ internet,HNX,1100000,https://finance.vietstock.vn/BST-ctcp-sach-va-thiet-bi-binh-thuan.htm
143,BT1,CTCP Bảo vệ Thực vật 1 Trung Ương,"Sản xuất hóa chất, dược phẩm",UPCoM,5250000,https://finance.vietstock.vn/BT1-ctcp-bao-ve-thuc-vat-1-trung-uong.htm
144,BT6,CTCP Beton 6,Sản xuất sản phẩm khoáng chất phi kim,UPCoM,32993550,https://finance.vietstock.vn/BT6-ctcp-beton-6.htm
145,BTB,CTCP Bia Hà Nội - Thái Bình,Sản xuất đồ uống và thuốc lá,UPCoM,7691226,https://finance.vietstock.vn/BTB-ctcp-bia-ha-noi-thai-binh.htm
146,BTD,CTCP Bê tông Ly tâm Thủ Đức,Sản xuất sản phẩm khoáng chất phi kim,UPCoM,6414100,https://finance.vietstock.vn/BTD-ctcp-be-tong-ly-tam-thu-duc.htm
